name,id,tier,tech/manufacturer,rarity,uiTags,tags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
真实战斗,real_combat_hullmod,,测试用,,特殊,"special,no_drop,no_sell,no_drop_salvage",8000,,TRUE,TRUE,0,0,0,0,real_combat.hullmods.RealCombatHullmod,根据武器规格，增加能量武器{%s}的射程，根据命中距离衰减伤害，增加实弹武器{%s/%s/%s}的射程，同时减少实弹武器{%s/%s/%s}的伤害，增加导弹{%s}的射程。,提升射程降低伤害。,graphics/hullmods/NRC.jpg
动能导弹防御,ckem_hullmod,,普通,,"武器, 防御","defensive, merc",8000,TRUE,,,0,0,0,0,real_combat.hullmods.RC_CKEM,当舰船护盾打开时，所有PD武器优先攻击动能导弹。,当舰船护盾打开时，所有PD武器优先攻击动能导弹。,graphics/hullmods/CKEM.jpg
蜘蛛核心,RC_SpiderCore,,图拉丁神教,,特殊,"special,no_drop,no_sell,no_drop_salvage",,,TRUE,,0,0,0,0,real_combat.hullmods.RC_SpiderCore,作为蛛女皇的核心模块，操控各个模块进行战斗。,作为蛛女皇的核心模块，操控各个模块进行战斗。,graphics/hullmods/terminator_core.png
模块核心,RC_TrinityForceCore,,海波龙神教,,特殊,"special,no_drop,no_sell,no_drop_salvage",,,TRUE,,0,0,0,0,real_combat.hullmods.RC_TrinityForceCore,作为模块的核心，速度和角速度与最慢的模块保持一致。,作为模块的核心，速度和角速度与最慢的模块保持一致。,graphics/hullmods/terminator_core.png
模块组件,RC_TrinityForceModule,,海波龙神教,,特殊,"special,no_drop,no_sell,no_drop_salvage",,,TRUE,,0,0,0,0,real_combat.hullmods.RC_TrinityForceModule,海波龙核心的模块部分。,海波龙核心的模块部分。,graphics/hullmods/terminator_core.png
幻想生物,RC_Fantasy,,幻想生物,,特殊,"special,no_drop,no_sell,no_drop_salvage",,,TRUE,,0,0,0,0,real_combat.hullmods.RC_Fantasy,幻想生物，会自动恢复装甲和血量。,幻想生物，会自动恢复装甲和血量。,graphics/hullmods/terminator_core.png
,,,,,,,,,,,,,,,,,,
#KAM_Red_forest,KAM_Red_forest,,幻想生物,,特殊,"defensive, merc",,,,,0,0,0,0,real_combat.hullmods.KAM_Red_forest,幻想生物，会自动恢复装甲和血量。,幻想生物，会自动恢复装甲和血量。,graphics/hullmods/terminator_core.png
#KAM_Coniferous_forests,KAM_Coniferous_forests,,幻想生物,,特殊,"defensive, merc",,,,,0,0,0,0,real_combat.hullmods.KAM_Coniferous_forests,幻想生物，会自动恢复装甲和血量。,幻想生物，会自动恢复装甲和血量。,graphics/hullmods/terminator_core.png
#KAM_Enemies_of_Hell,KAM_Enemies_of_Hell,,幻想生物,,特殊,"defensive, merc",,,,,0,0,0,0,real_combat.hullmods.KAM_Enemies_of_Hell,幻想生物，会自动恢复装甲和血量。,幻想生物，会自动恢复装甲和血量。,graphics/hullmods/terminator_core.png
通用运维,RC_OPEX,,普通,,特殊,"special,no_drop,no_sell,no_drop_salvage",8000,TRUE,,,5,10,15,25,real_combat.hullmods.RC_OPEX,相同的装配越多峰值时间越高，战备降低速度越低，飞机整备速率越高。,相同的装配越多峰值时间越高，战备降低速度越低，飞机整备速率越高。,graphics/hullmods/CKEM.jpg
寒流,RC_HL,,普通,,特殊,"special,no_drop,no_sell,no_drop_salvage",8000,TRUE,,,5,10,15,25,real_combat.hullmods.RC_HL,舰船本体受击后会以幅能耗散速度排放受击伤害量的幅能。,舰船本体受击后会以幅能耗散速度排放受击伤害量的幅能。,graphics/hullmods/RC_HL.jpg
轰炸战术,RC_BomberCore,,普通,,特殊,"defensive, merc",,,,,0,0,0,0,real_combat.hullmods.RC_BomberCore,指挥轰炸机以友军舰船作为跳板进攻。,指挥轰炸机以友军舰船作为跳板进攻。,graphics/hullmods/terminator_core.png